Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,GoogleIndex,DNS,DomainAge,DomainEnd,iFrame,Mouse_Over,Right_Click,Web_Forwards,count-,count@,count?,count%,count.,count=,count-http,count-https,count-www,count-digits,count-letters,Label
docs.google.com,0,0,1,5,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,2,3,1,1,0,16,131,1
s-teamg.com,0,0,0,3,0,1,0,1,0,1,1,1,1,1,1,1,2,0,0,0,1,0,1,1,0,0,30,1
cloudflare-ipfs.com,0,0,1,2,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,6,79,1
bafybeictw2hplh3akxmcbsiibnh6lrp7xgw7msarpxov25jdhksy3o5qaa.ipfs.cf-ipfs.com,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,3,0,1,1,0,9,68,1
brwtihfyemdrt.web.app,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,2,0,1,1,0,0,24,1
click.pstmrk.it,0,0,1,6,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,4,0,1,1,0,7,93,1
cloudflare-ipfs.com,0,0,1,2,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,1,0,12,73,1
bafybeig3tm7gtkz5abjlu4ucvimk6iutcbpqd6kaj2mot2qghqj3asger4.ipfs.cf-ipfs.com,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,3,0,1,1,0,10,67,1
sites.google.com,0,0,0,3,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,2,0,1,1,0,0,41,1
docs.google.com,0,0,1,5,0,1,0,0,0,1,1,1,1,1,1,1,3,0,1,0,3,4,1,1,0,23,131,1
dsan97.webwave.dev,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,2,0,1,1,0,2,19,1
intzuhsienni.wixsite.com,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,2,0,1,1,0,0,30,1
p4xnci.webwave.dev,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,2,0,1,1,0,1,20,1
login-uhaul.net,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,17,1
terbboveagri.firebaseapp.com,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,2,0,1,1,0,0,31,1
pub-7d8b8f82cb3c4672b052c5b4d01dd14c.r2.dev,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,2,0,0,0,3,0,1,1,0,23,41,1
bit.ly,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,16,1
page-reload-10002342353.firebaseapp.com,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,2,0,0,0,2,0,1,1,0,11,29,1
particulares-netbancosantander.firebaseapp.com,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,2,0,1,1,0,0,48,1
correos360.api-service-tracking.top,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,2,0,0,0,3,0,1,1,1,3,36,1
2836db27.index-asv.pages.dev,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,3,0,1,1,0,6,23,1
rogers-102696.weeblysite.com,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,2,0,1,1,0,6,24,1
cloudflare-ipfs.com,0,0,1,2,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,5,80,1
klsnjdoiwfweixinqyeiucom.cn,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,31,1
mypblife.com,0,1,1,3,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,2,1,1,0,0,1,46,1
cloudflare-ipfs.com,0,0,1,2,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,5,80,1
mail-105658.weeblysite.com,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,2,0,1,1,0,6,22,1
bafybeia2qg2uxylrtefrebkn7uj6zfaxdrvx5u3e2mo67lecmz6kgxyycq.ipfs.dweb.link,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,3,0,1,1,0,10,66,1
lieanemsngute.webcindario.com,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,2,0,1,1,0,0,32,1
juno-105405.weeblysite.com,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,2,0,1,1,0,6,22,1
site9608304.92.webydo.com,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,3,0,1,0,0,9,17,1
qr.paps.jp,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,2,0,1,1,0,1,17,1
authorise-added-device.firebaseapp.com,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,2,0,0,0,2,0,1,1,0,0,39,1
cancelar-bg.webcindario.com,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,2,0,1,1,0,0,29,1
bafybeigcyoanawq5dguze4zm7szcdwh43gjk6l5li6zt7g7xbcbsrtqyp4.ipfs.cf-ipfs.com,0,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,3,0,1,1,0,11,66,1
bit.ly,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,3,14,1
ipfs.eth.aragon.network,0,0,1,3,0,1,0,0,0,1,1,1,1,1,1,1,6,0,0,0,4,0,1,1,0,19,101,1
cloudflare-ipfs.com,0,0,1,2,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,0,7,78,1
xep.li,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,15,1
uspz.uspsac.top,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,2,0,1,1,0,0,18,1
sites.google.com,0,0,1,3,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,2,0,1,1,0,4,44,1
vguhkn.6jv2gpm0b1551.workers.dev,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,3,0,1,1,0,7,27,1
nouxtot.firebaseapp.com,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,2,0,1,1,0,0,26,1
docs.google.com,0,0,1,5,0,1,0,0,0,1,1,1,1,1,1,1,5,0,1,0,2,3,1,1,0,14,138,1
bafybeihg5ltv2ojv24duqqpk2amjcwtwqt4baysag4cjigypow3sy3bsdq.ipfs.cf-ipfs.com,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,3,0,1,1,0,9,68,1
cod916-bn-cr.webcindario.com,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,2,0,0,0,2,0,1,1,0,3,26,1
should-do-it-now3545438.io.vn,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,3,0,0,0,2,0,1,1,0,7,22,1
essschools.com,0,0,1,5,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,2,0,1,1,0,0,56,1
icebps.com.co,0,0,1,5,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,3,0,1,1,0,0,51,1
glassdoctor.pages.dev,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,2,0,1,1,0,0,24,1
login-screen-104654.weeblysite.com,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,2,0,0,0,2,0,1,1,0,6,29,1
yimba.000webhostapp.com,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,3,0,1,0,0,3,31,1
www-gerenciador-cxpj-gov.blogspot.com,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,3,0,0,0,2,0,1,1,1,0,37,1
failed-recipient-add.firebaseapp.com,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,2,0,0,0,2,0,1,1,0,0,37,1
cloudflare-ipfs.com,0,1,1,2,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,0,3,0,1,1,0,10,96,1
