Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,GoogleIndex,DNS,DomainAge,DomainEnd,iFrame,Mouse_Over,Right_Click,Web_Forwards,count-,count@,count?,count%,count.,count=,count-http,count-https,count-www,count-digits,count-letters,Label
graphicriver.net,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,10,1,0,0,0,107,0
ecnavi.jp,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,2,2,4,4,2,0,1,22,55,0
hubpages.com,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,3,0,1,2,1,2,1,1,0,2,72,0
extratorrent.cc,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,5,4,0,1,0,0,19,85,0
icicibank.com,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,0,6,0,1,0,2,1,1,0,0,17,82,0
nypost.com,0,0,1,4,0,0,1,0,0,1,1,1,1,1,1,1,6,0,0,0,1,0,1,0,0,8,63,0
kienthuc.net.vn,0,0,1,2,0,0,0,0,0,1,1,1,0,1,1,0,12,0,0,0,3,0,1,0,0,10,65,0
thenextweb.com,0,0,1,6,0,0,0,0,0,1,1,1,0,1,1,0,14,0,0,0,2,0,1,0,0,8,83,0
tobogo.net,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,2,9,1,0,0,5,77,0
akhbarelyom.com,0,0,1,5,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,22,2,0,1,0,0,30,57,0
tunein.com,0,0,1,5,0,0,0,0,0,1,1,1,0,1,1,1,11,0,0,0,1,0,1,0,0,36,79,0
tune.pk,0,0,1,3,0,1,0,0,0,1,1,1,1,1,1,1,7,0,0,0,1,0,1,1,0,7,68,0
sfglobe.com,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1,8,0,1,0,1,1,1,0,0,8,77,0
mic.com,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,7,0,0,0,1,0,1,0,0,8,64,0
thenextweb.com,0,0,1,6,0,0,0,0,0,1,1,1,0,1,1,0,12,0,0,0,2,0,1,0,0,8,101,0
couchtuner.eu.com,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,8,0,0,0,3,0,1,0,0,9,65,0
olx.in,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1,10,0,0,0,2,0,1,0,0,4,81,0
venturebeat.com,0,0,1,4,0,0,1,0,0,1,1,1,1,1,1,0,18,0,0,0,1,0,1,0,0,8,94,0
allegro.pl,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1,8,0,1,2,2,4,1,0,0,13,74,0
allegro.pl,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,0,7,0,1,2,2,5,1,0,0,15,72,0
tinnhanh360.net,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,15,0,0,0,2,0,1,0,0,3,70,0
metro.co.uk,0,0,1,4,0,0,0,0,1,1,1,1,1,1,1,1,9,0,0,0,2,0,1,0,0,19,57,0
